DATA_BASE,TIPO_DESENROLA,UNIDADE_FEDERACAO,NOME_CONGLOMERADO_FINANCEIRO,NUMERO_OPERACOES,VOLUME_OPERACOES
2023-10-01,1,MS,BB,160,100053.13
2023-10-01,1,MS,BMG,255,222528.96
2023-10-01,1,MS,BRADESCO,349,261701.52
2023-10-01,1,MS,BTG PACTUAL,497,414140.65
2023-10-01,1,MS,C6 BANK,74,53386.06
2023-10-01,1,MS,CAIXA ECONÔMICA FEDERAL,279,202190.1
2023-10-01,1,MS,CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT,1,920.68
2023-10-01,1,MS,INTER,857,650580.14
2023-10-01,1,MS,ITAU,170,121829.23
2023-10-01,1,MS,NUBANK,1655,1136106.69
2023-10-01,1,MS,SANTANDER,250,182907.2
2023-10-01,1,MS,VOTORANTIM,21,18831.57
2023-10-01,1,MT,BANCO SICOOB,8,10952.23
2023-10-01,1,MT,BB,140,95409.29
2023-10-01,1,MT,BMG,181,144150.55
2023-10-01,1,MT,BRADESCO,171,142507.54
2023-10-01,1,MT,BTG PACTUAL,372,327697.24
2023-10-01,1,MT,C6 BANK,60,47164.18
2023-10-01,1,MT,CAIXA ECONÔMICA FEDERAL,110,95574.3
2023-10-01,1,MT,CCLA DO CENTRO SUL RONDONIENSE,2,3146.23
2023-10-01,1,MT,CCLA NORTE DE MATO GROSSO - SICOOB NORTE MT,1,2042.25
2023-10-01,1,MT,INTER,637,535753.86
2023-10-01,1,MT,ITAU,141,109349.09
2023-10-01,1,MT,NUBANK,1119,812021.08
2023-10-01,1,MT,SANTANDER,127,97888.97
2023-10-01,1,MT,SICOOB CREDISUL,3,2930.27
2023-10-01,1,MT,VOTORANTIM,28,25947.39
2023-10-01,1,PA,BANCO SICOOB,2,4210.09
2023-10-01,1,PA,BB,220,112027.54
2023-10-01,1,PA,BMG,288,218356.71
2023-10-01,1,PA,BRADESCO,311,203849.67
2023-10-01,1,PA,BTG PACTUAL,584,422152.23
2023-10-01,1,PA,C6 BANK,77,48962.69
2023-10-01,1,PA,CAIXA ECONÔMICA FEDERAL,268,148409.29
2023-10-01,1,PA,INTER,1419,990695.68
2023-10-01,1,PA,ITAU,304,218638.5
2023-10-01,1,PA,NUBANK,2347,1380739.0
2023-10-01,1,PA,SANTANDER,313,195321.98
2023-10-01,1,PA,VOTORANTIM,28,19796.07
2023-10-01,1,PB,BB,176,100653.27
2023-10-01,1,PB,BMG,275,234480.52
2023-10-01,1,PB,BRADESCO,326,226253.13
2023-10-01,1,PB,BTG PACTUAL,473,370992.09
2023-10-01,1,PB,C6 BANK,41,31662.77
2023-10-01,1,PB,CAIXA ECONÔMICA FEDERAL,254,163477.3
2023-10-01,1,PB,INTER,969,763444.29
2023-10-01,1,PB,ITAU,169,120784.42
2023-10-01,1,PB,NUBANK,1449,934532.53
2023-10-01,1,PB,SANTANDER,183,135593.9
2023-10-01,1,PB,VOTORANTIM,14,8726.31
2023-10-01,1,PE,BANCO SICOOB,4,4430.54
2023-10-01,1,PE,BB,329,202590.86
2023-10-01,1,PE,BMG,556,449393.4
2023-10-01,1,PE,BRADESCO,642,443175.98
2023-10-01,1,PE,BTG PACTUAL,924,690390.19
2023-10-01,1,PE,C6 BANK,124,82795.71
2023-10-01,1,PE,CAIXA ECONÔMICA FEDERAL,568,379061.04
2023-10-01,1,PE,CC SICOOB COOPEMAR,1,2256.1
